timestamp,C-Central_PV-1,C-Central_PV-2,C-Commercial_PV,C-Residential_PV,C-Wind-1,C-Wind-2,G106344,G106345,G106346,G106347,G106348,G106349,G106470,G106471,G109041,G109042,G111092,G111093,G112778,G112779,G114088,G114089,G114090,N-Central_PV-1,N-Central_PV-2,N-Commercial_PV,N-Residential_PV,N-Wind-1,N-Wind-2,S-Central_PV-1,S-Central_PV-2,S-Commercial_PV,S-Residential_PV,outside_coal
20250122,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,403.24,0,0,0,0,0,0
20250123,0,0,0,0,3.1808,0,0,0,94.0453,485.76,0,242.88,283.36,283.36,242.88,242.88,0,0,0,0,0,0,0,0,0,0,0,256.732,0.86478,0,0,0,0,0
20300100,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2572.43,0,0,0,0,0,0
20300101,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2554,0,0,0,0,0,0
20300102,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.93,0.86478,0,0,0,0,0
20300103,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2489.73,0.86478,0,0,0,0,0
20300104,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2460.32,0.86478,0,0,0,0,0
20300105,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2463.07,0.86478,0,0,0,0,0
20300106,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518.04,0.86478,0,0,0,0,0
20300107,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2627.01,0,0,0,0,0,0
20300108,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2624.86,0,0,0,0,0,0
20300109,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2658.99,0.86478,0,0,0,0,0
20300110,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571.56,0.86478,0,0,0,0,0
20300111,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2558.03,0.86478,0,0,0,0,0
20300112,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571.26,0.86478,0,0,0,0,0
20300113,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2462.57,0.86478,0,0,0,0,0
20300114,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2438.75,0.86478,0,0,0,0,0
20300115,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2467.07,0.86478,0,0,0,0,0
20300116,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2523.4,0,0,0,0,0,0
20300117,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742.95,0,0,0,0,0,0
20300118,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2914.09,0.86478,0,0,0,0,0
20300119,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959.97,0.86478,0,0,0,0,0
20300120,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883.89,0,0,0,0,0,0
20300121,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2864.51,0.86478,0,0,0,0,0
20300122,0,0,0,0,3.1808,2.56452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2761.4,0.86478,0,0,0,0,0
