GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
G106471,51,Coal,2623.34688
G106471,52,Coal,2623.34688
G106471,53,Coal,2623.34688
G106471,54,Coal,2623.34688
G106471,55,Coal,2623.34688
G106471,56,Coal,2623.34688
G106471,57,Coal,2623.34688
G106471,58,Coal,2623.34688
G106471,59,Coal,2623.34688
G106471,60,Coal,2623.34688
G106471,61,Coal,2623.34688
G106471,62,Coal,2623.34688
G106471,63,Coal,2623.34688
G106471,64,Coal,2623.34688
G106471,65,Coal,2623.34688
G106471,66,Coal,2623.34688
G106471,67,Coal,2623.34688
G106471,68,Coal,2623.34688
G106471,69,Coal,2623.34688
G106471,70,Coal,2623.34688
G106471,71,Coal,2623.34688
G106471,72,Coal,2623.34688
G106471,73,Coal,2623.34688
G106471,74,Coal,2623.34688
G106471,75,Coal,2623.34688
G106471,76,Coal,2623.34688
G106471,77,Coal,2623.34688
G106471,78,Coal,2623.34688
G106471,79,Coal,2623.34688
G106471,80,Coal,2623.34688
G106471,81,Coal,2623.34688
G106471,82,Coal,2623.34688
G106471,83,Coal,2623.34688
G106471,84,Coal,2623.34688
G106471,85,Coal,2623.34688
G106471,86,Coal,2623.34688
G106471,87,Coal,2623.34688
G106471,88,Coal,2623.34688
G106471,89,Coal,2623.34688
G106471,90,Coal,2623.34688
G106471,91,Coal,2623.34688
G106471,92,Coal,2623.34688
G106471,93,Coal,2623.34688
G106471,94,Coal,2623.34688
G106471,95,Coal,2623.34688
G106471,96,Coal,2623.34688
G109041,1,Coal,2248.5830399999995
G109041,2,Coal,2248.5830399999995
G109041,3,Coal,2248.5830399999995
G109041,4,Coal,2248.5830399999995
G109041,5,Coal,2248.5830399999995
G109041,6,Coal,2248.5830399999995
G109041,7,Coal,2248.5830399999995
G109041,8,Coal,2248.5830399999995
G109041,9,Coal,2248.5830399999995
G109041,10,Coal,2248.5830399999995
G109041,11,Coal,2248.5830399999995
G109041,12,Coal,2248.5830399999995
G109041,13,Coal,2248.5830399999995
G109041,14,Coal,2248.5830399999995
G109041,15,Coal,2248.5830399999995
G109041,16,Coal,2248.5830399999995
G109041,17,Coal,2248.5830399999995
G109041,18,Coal,2248.5830399999995
G109041,19,Coal,2248.5830399999995
G109041,20,Coal,2248.5830399999995
G109041,21,Coal,2248.5830399999995
G109041,22,Coal,2248.5830399999995
G109041,23,Coal,2248.5830399999995
G109041,24,Coal,2248.5830399999995
G109041,25,Coal,2248.5830399999995
G109041,26,Coal,2248.5830399999995
G109041,27,Coal,2248.5830399999995
G109041,28,Coal,2248.5830399999995
G109041,29,Coal,2248.5830399999995
G109041,30,Coal,2248.5830399999995
G109041,31,Coal,2248.5830399999995
G109041,32,Coal,2248.5830399999995
G109041,33,Coal,2248.5830399999995
G109041,34,Coal,2248.5830399999995
G109041,35,Coal,2248.5830399999995
G109041,36,Coal,2248.5830399999995
G109041,37,Coal,2248.5830399999995
G109041,38,Coal,2248.5830399999995
G109041,39,Coal,2248.5830399999995
G109041,40,Coal,2248.5830399999995
G109041,41,Coal,2248.5830399999995
G109041,42,Coal,2248.5830399999995
G109041,43,Coal,2248.5830399999995
G109041,44,Coal,2248.5830399999995
